# ROBOT PARAMETERS: Arm1=1.8460, Arm2=1.6040, MaxSpeed=120.00, Samples=3960
# Generated: 2026-07-14 14:31:18
# WAYPOINTS:
# WP: -2.560000,-1.700000,-148.636400,54.212190,50
# WP: -2.160000,1.180000,-102.017100,89.250400,50
# WP: -0.680000,2.850000,-42.869300,63.909990,50

Time,X,Z,Theta1,Theta2
0.000,2.350000,-1.180000,79.625300,80.921880
0.001,2.349084,-1.182347,79.685300,80.909710
0.002,2.348166,-1.184694,79.745300,80.897540
0.003,2.347245,-1.187039,79.805300,80.885380
0.004,2.346323,-1.189384,79.865300,80.873210
0.005,2.345397,-1.191729,79.925300,80.861050
0.006,2.344470,-1.194072,79.985300,80.848880
0.007,2.343540,-1.196415,80.045300,80.836720
0.008,2.342607,-1.198758,80.105300,80.824550
0.009,2.341673,-1.201099,80.165300,80.812390
0.010,2.340736,-1.203440,80.225300,80.800220
0.011,2.339796,-1.205780,80.285300,80.788060
0.012,2.338855,-1.208120,80.345300,80.775890
0.013,2.337911,-1.210458,80.405300,80.763730
0.014,2.336964,-1.212796,80.465290,80.751560
0.015,2.336015,-1.215133,80.525300,80.739400
0.016,2.335064,-1.217470,80.585300,80.727230
0.017,2.334111,-1.219806,80.645290,80.715070
0.018,2.333155,-1.222141,80.705300,80.702900
0.019,2.332197,-1.224475,80.765300,80.690740
0.020,2.331236,-1.226809,80.825290,80.678570
0.021,2.330273,-1.229142,80.885300,80.666410
0.022,2.329308,-1.231474,80.945300,80.654250
0.023,2.328340,-1.233805,81.005290,80.642080
0.024,2.327370,-1.236136,81.065300,80.629920
0.025,2.326398,-1.238466,81.125300,80.617750
0.026,2.325423,-1.240795,81.185300,80.605590
0.027,2.324447,-1.243123,81.245300,80.593420
0.028,2.323467,-1.245451,81.305300,80.581260
0.029,2.322485,-1.247778,81.365300,80.569090
0.030,2.321501,-1.250104,81.425300,80.556930
0.031,2.320515,-1.252429,81.485300,80.544760
0.032,2.319526,-1.254754,81.545300,80.532600
0.033,2.318535,-1.257077,81.605300,80.520430
0.034,2.317541,-1.259401,81.665300,80.508270
0.035,2.316546,-1.261723,81.725300,80.496100
0.036,2.315548,-1.264044,81.785300,80.483940
0.037,2.314547,-1.266365,81.845300,80.471770
0.038,2.313544,-1.268685,81.905300,80.459610
0.039,2.312539,-1.271004,81.965300,80.447440
0.040,2.311531,-1.273323,82.025300,80.435280
0.041,2.310522,-1.275640,82.085300,80.423110
0.042,2.309510,-1.277957,82.145290,80.410950
0.043,2.308495,-1.280273,82.205300,80.398790
0.044,2.307478,-1.282588,82.265300,80.386620
0.045,2.306459,-1.284903,82.325290,80.374460
0.046,2.305437,-1.287216,82.385300,80.362290
0.047,2.304413,-1.289529,82.445300,80.350130
0.048,2.303387,-1.291841,82.505290,80.337960
0.049,2.302358,-1.294153,82.565300,80.325800
0.050,2.301328,-1.296463,82.625300,80.313630
0.051,2.300294,-1.298772,82.685300,80.301470
0.052,2.299259,-1.301081,82.745300,80.289300
0.053,2.298221,-1.303389,82.805300,80.277140
0.054,2.297180,-1.305696,82.865300,80.264970
0.055,2.296138,-1.308003,82.925300,80.252810
0.056,2.295093,-1.310308,82.985300,80.240640
0.057,2.294046,-1.312613,83.045300,80.228480
0.058,2.292996,-1.314917,83.105300,80.216310
0.059,2.291945,-1.317220,83.165300,80.204150
0.060,2.290890,-1.319522,83.225300,80.191980
0.061,2.289833,-1.321824,83.285300,80.179820
0.062,2.288774,-1.324124,83.345300,80.167650
0.063,2.287713,-1.326424,83.405300,80.155490
0.064,2.286649,-1.328723,83.465300,80.143330
0.065,2.285584,-1.331021,83.525300,80.131160
0.066,2.284516,-1.333318,83.585300,80.119000
0.067,2.283445,-1.335614,83.645290,80.106830
0.068,2.282372,-1.337910,83.705300,80.094670
0.069,2.281297,-1.340205,83.765300,80.082500
0.070,2.280219,-1.342498,83.825290,80.070340
0.071,2.279140,-1.344791,83.885300,80.058170
0.072,2.278057,-1.347084,83.945300,80.046010
0.073,2.276973,-1.349375,84.005290,80.033840
0.074,2.275886,-1.351665,84.065300,80.021680
0.075,2.274797,-1.353954,84.125300,80.009510
0.076,2.273706,-1.356243,84.185300,79.997340
0.077,2.272612,-1.358531,84.245300,79.985180
0.078,2.271516,-1.360818,84.305300,79.973010
0.079,2.270418,-1.363104,84.365300,79.960850
0.080,2.269317,-1.365389,84.425300,79.948680
