# ROBOT PARAMETERS: Arm1=1.8460, Arm2=1.6040, MaxSpeed=120.00, Samples=9002
# Generated: 2026-07-14 21:33:55
# WAYPOINTS:
# WP: -1.470000,2.750000,-51.618740,50.799720,84
# WP: 1.320000,3.120000,12.779660,21.856800,50
# WP: 2.040000,2.480000,19.525560,42.993950,64
# WP: 0.830000,1.910000,-24.239910,106.112900,56
# WP: -1.440000,0.900000,-111.616300,121.530700,50
# WP: -2.640000,0.630000,-111.647500,76.464970,22
# WP: 2.890000,1.240000,44.249700,48.691380,50

Time,X,Z,Theta1,Theta2
0.000,2.890000,1.240000,44.249690,48.691360
0.001,2.887811,1.245021,44.148900,48.693580
0.002,2.885613,1.250038,44.048100,48.695800
0.003,2.883406,1.255050,43.947300,48.698010
0.004,2.881191,1.260059,43.846500,48.700230
0.005,2.878967,1.265064,43.745690,48.702450
0.006,2.876735,1.270065,43.644890,48.704670
0.007,2.874493,1.275062,43.544090,48.706880
0.008,2.872243,1.280055,43.443290,48.709100
0.009,2.869985,1.285044,43.342490,48.711320
0.010,2.867718,1.290029,43.241700,48.713530
0.011,2.865441,1.295010,43.140900,48.715750
0.012,2.863157,1.299988,43.040100,48.717960
0.013,2.860863,1.304961,42.939290,48.720180
0.014,2.858562,1.309930,42.838490,48.722400
0.015,2.856251,1.314895,42.737690,48.724620
0.016,2.853932,1.319856,42.636890,48.726830
0.017,2.851604,1.324812,42.536090,48.729050
0.018,2.849268,1.329765,42.435300,48.731270
0.019,2.846923,1.334714,42.334500,48.733480
0.020,2.844569,1.339658,42.233700,48.735700
0.021,2.842207,1.344599,42.132890,48.737920
0.022,2.839836,1.349535,42.032090,48.740140
0.023,2.837457,1.354467,41.931290,48.742350
0.024,2.835069,1.359394,41.830490,48.744570
0.025,2.832672,1.364318,41.729690,48.746780
0.026,2.830267,1.369237,41.628890,48.749000
0.027,2.827854,1.374152,41.528100,48.751220
0.028,2.825432,1.379063,41.427300,48.753430
0.029,2.823001,1.383970,41.326500,48.755650
0.030,2.820562,1.388872,41.225690,48.757870
0.031,2.818114,1.393770,41.124890,48.760090
0.032,2.815658,1.398664,41.024090,48.762300
0.033,2.813193,1.403553,40.923290,48.764520
0.034,2.810720,1.408438,40.822490,48.766740
0.035,2.808239,1.413319,40.721690,48.768950
0.036,2.805748,1.418195,40.620900,48.771170
0.037,2.803250,1.423067,40.520100,48.773390
0.038,2.800743,1.427934,40.419300,48.775600
0.039,2.798227,1.432797,40.318490,48.777820
0.040,2.795703,1.437656,40.217690,48.780040
0.041,2.793171,1.442510,40.116890,48.782250
0.042,2.790630,1.447360,40.016090,48.784470
0.043,2.788081,1.452205,39.915290,48.786690
0.044,2.785523,1.457046,39.814500,48.788900
0.045,2.782957,1.461882,39.713700,48.791120
0.046,2.780383,1.466714,39.612900,48.793340
0.047,2.777800,1.471541,39.512100,48.795560
0.048,2.775208,1.476364,39.411290,48.797770
0.049,2.772609,1.481182,39.310490,48.799990
