# ROBOT PARAMETERS: Arm1=1.8460, Arm2=1.6040, MaxSpeed=120.00, Samples=9249
# Generated: 2026-07-15 16:00:29
# WAYPOINTS:
# WP: -1.560000,2.380000,-65.005420,69.049390,100
# WP: -2.750000,1.160000,-94.978820,60.372510,29
# WP: -0.460000,1.640000,-69.218830,121.331200,19
# WP: -1.410000,0.470000,-127.873900,129.558900,100
# WP: -2.080000,-0.150000,-141.803900,105.993100,50
# WP: 1.360000,1.060000,-1.193326,120.519100,50
# WP: 2.380000,1.570000,24.972110,68.724780,50
# WP: 2.690000,0.380000,46.951810,76.325600,50
# WP: 1.580000,2.640000,5.972063,53.944580,50

Time,X,Z,Theta1,Theta2
0.000,0.000000,3.449998,0.000000,0.000000
0.001,-0.003443,3.449994,-0.112972,0.120000
0.002,-0.006886,3.449984,-0.225944,0.240000
0.003,-0.010329,3.449965,-0.338916,0.360000
0.004,-0.013772,3.449940,-0.451888,0.480000
0.005,-0.017215,3.449908,-0.564860,0.600000
0.006,-0.020658,3.449868,-0.677832,0.720000
0.007,-0.024101,3.449822,-0.790804,0.840000
0.008,-0.027543,3.449768,-0.903777,0.960000
0.009,-0.030986,3.449706,-1.016749,1.080000
0.010,-0.034428,3.449638,-1.129721,1.200000
0.011,-0.037871,3.449562,-1.242693,1.320000
0.012,-0.041313,3.449480,-1.355665,1.440000
0.013,-0.044755,3.449390,-1.468637,1.560000
0.014,-0.048197,3.449292,-1.581609,1.680000
0.015,-0.051638,3.449188,-1.694581,1.800000
0.016,-0.055079,3.449076,-1.807553,1.920000
0.017,-0.058521,3.448958,-1.920525,2.040000
0.018,-0.061962,3.448832,-2.033497,2.160000
0.019,-0.065402,3.448698,-2.146469,2.280000
0.020,-0.068843,3.448558,-2.259441,2.400000
0.021,-0.072283,3.448411,-2.372413,2.520000
0.022,-0.075722,3.448256,-2.485385,2.640000
0.023,-0.079162,3.448094,-2.598357,2.760000
0.024,-0.082601,3.447925,-2.711329,2.880000
0.025,-0.086040,3.447748,-2.824301,3.000000
0.026,-0.089478,3.447565,-2.937273,3.120000
0.027,-0.092917,3.447374,-3.050246,3.240000
0.028,-0.096354,3.447176,-3.163218,3.360000
0.029,-0.099792,3.446971,-3.276190,3.480000
0.030,-0.103229,3.446759,-3.389162,3.600000
0.031,-0.106665,3.446539,-3.502134,3.720000
0.032,-0.110101,3.446312,-3.615106,3.840000
0.033,-0.113537,3.446079,-3.728078,3.960000
0.034,-0.116972,3.445837,-3.841050,4.080000
0.035,-0.120406,3.445589,-3.954022,4.200000
0.036,-0.123841,3.445334,-4.066994,4.320000
0.037,-0.127274,3.445071,-4.179966,4.440000
0.038,-0.130707,3.444801,-4.292939,4.560000
0.039,-0.134140,3.444525,-4.405910,4.680000
0.040,-0.137572,3.444240,-4.518882,4.800000
0.041,-0.141004,3.443949,-4.631855,4.920000
0.042,-0.144434,3.443650,-4.744826,5.040000
0.043,-0.147865,3.443345,-4.857799,5.160000
0.044,-0.151294,3.443032,-4.970771,5.280000
0.045,-0.154723,3.442712,-5.083743,5.400001
0.046,-0.158152,3.442385,-5.196715,5.520000
0.047,-0.161580,3.442050,-5.309687,5.640000
0.048,-0.165007,3.441709,-5.422659,5.760000
0.049,-0.168433,3.441360,-5.535631,5.880000
0.050,-0.171859,3.441004,-5.648602,6.000000
0.051,-0.175284,3.440641,-5.761575,6.120000
0.052,-0.178708,3.440271,-5.874547,6.240000
0.053,-0.182132,3.439893,-5.987519,6.360000
0.054,-0.185555,3.439509,-6.100491,6.480000
0.055,-0.188977,3.439117,-6.213464,6.600000
0.056,-0.192398,3.438718,-6.326435,6.720000
0.057,-0.195819,3.438313,-6.439407,6.840000
0.058,-0.199238,3.437899,-6.552380,6.960000
0.059,-0.202657,3.437479,-6.665351,7.080000
0.060,-0.206075,3.437052,-6.778324,7.200000
0.061,-0.209493,3.436617,-6.891296,7.320001
