# ROBOT PARAMETERS: Arm1=1.8460, Arm2=1.6040, MaxSpeed=120.00, Samples=11995
# Generated: 2026-07-20 11:14:53
# WAYPOINTS:
# WP: -0.810000,0.420000,-122.924100,150.378600,50
# WP: 1.820000,0.510000,23.513560,113.993100,50
# WP: -0.710000,2.390000,-56.548480,87.719220,50
# WP: -2.180000,2.030000,-75.065420,60.759090,50
# WP: -1.812190,0.216488,-135.000000,116.578500,50
# WP: -2.891826,-1.069085,-135.000000,53.469210,50
# WP: 3.440591,-0.254590,94.218930,0.027976,50
# WP: 2.368416,2.508603,43.340520,0.027976,50
# WP: 1.841209,2.917608,32.241700,0.027976,50

Time,X,Z,Theta1,Theta2
0.000,-2.440071,-2.438963,-135.000000,0.027976
0.001,-2.441462,-2.437569,-134.995200,0.087976
0.002,-2.442853,-2.436173,-134.990400,0.147977
0.003,-2.444241,-2.434776,-134.985500,0.207977
0.004,-2.445628,-2.433377,-134.980700,0.267977
0.005,-2.447014,-2.431977,-134.975900,0.327977
0.006,-2.448398,-2.430575,-134.971100,0.387977
0.007,-2.449781,-2.429172,-134.966300,0.447977
0.008,-2.451162,-2.427768,-134.961400,0.507977
0.009,-2.452542,-2.426363,-134.956600,0.567977
0.010,-2.453920,-2.424955,-134.951800,0.627977
0.011,-2.455297,-2.423546,-134.947000,0.687977
0.012,-2.456673,-2.422136,-134.942200,0.747977
0.013,-2.458047,-2.420724,-134.937300,0.807977
0.014,-2.459419,-2.419311,-134.932500,0.867977
0.015,-2.460789,-2.417897,-134.927700,0.927977
0.016,-2.462159,-2.416481,-134.922900,0.987977
0.017,-2.463527,-2.415063,-134.918100,1.047976
0.018,-2.464894,-2.413644,-134.913300,1.107976
0.019,-2.466259,-2.412224,-134.908400,1.167976
0.020,-2.467622,-2.410803,-134.903600,1.227976
0.021,-2.468984,-2.409379,-134.898800,1.287977
0.022,-2.470344,-2.407955,-134.894000,1.347976
0.023,-2.471704,-2.406529,-134.889200,1.407977
0.024,-2.473061,-2.405101,-134.884300,1.467976
0.025,-2.474417,-2.403672,-134.879500,1.527977
0.026,-2.475771,-2.402242,-134.874700,1.587976
0.027,-2.477124,-2.400811,-134.869900,1.647977
0.028,-2.478476,-2.399378,-134.865100,1.707976
0.029,-2.479826,-2.397943,-134.860200,1.767977
0.030,-2.481174,-2.396507,-134.855400,1.827976
0.031,-2.482522,-2.395069,-134.850600,1.887977
0.032,-2.483866,-2.393631,-134.845800,1.947976
0.033,-2.485211,-2.392191,-134.841000,2.007976
0.034,-2.486553,-2.390749,-134.836200,2.067976
0.035,-2.487894,-2.389306,-134.831300,2.127976
0.036,-2.489234,-2.387862,-134.826500,2.187977
0.037,-2.490571,-2.386417,-134.821700,2.247976
0.038,-2.491907,-2.384970,-134.816900,2.307976
0.039,-2.493242,-2.383521,-134.812100,2.367976
0.040,-2.494576,-2.382071,-134.807200,2.427977
0.041,-2.495908,-2.380620,-134.802400,2.487976
0.042,-2.497238,-2.379167,-134.797600,2.547976
0.043,-2.498566,-2.377713,-134.792800,2.607976
0.044,-2.499893,-2.376257,-134.788000,2.667977
