# ROBOT PARAMETERS: Arm1=1.8460, Arm2=1.6040, MaxSpeed=120.00, Samples=2555
# Generated: 2026-07-20 11:52:53
# WAYPOINTS:
# WP: -1.602082,0.270989,-135.000000,124.338000,50
# WP: -1.740000,0.770000,-116.767000,113.485700,50

Time,X,Z,Theta1,Theta2
0.000,0.000000,3.449998,0.000000,0.000000
0.001,-0.002066,3.449997,-0.060000,0.055261
0.002,-0.004132,3.449994,-0.120000,0.110523
0.003,-0.006197,3.449989,-0.180000,0.165784
0.004,-0.008263,3.449982,-0.240000,0.221045
0.005,-0.010329,3.449973,-0.300000,0.276307
0.006,-0.012395,3.449961,-0.360000,0.331568
0.007,-0.014460,3.449948,-0.420000,0.386829
0.008,-0.016526,3.449933,-0.480000,0.442091
0.009,-0.018592,3.449916,-0.540000,0.497352
0.010,-0.020657,3.449896,-0.600000,0.552613
0.011,-0.022723,3.449875,-0.660000,0.607875
0.012,-0.024789,3.449852,-0.720000,0.663136
0.013,-0.026854,3.449826,-0.780000,0.718398
0.014,-0.028920,3.449799,-0.840000,0.773659
0.015,-0.030986,3.449769,-0.900000,0.828920
0.016,-0.033051,3.449738,-0.960000,0.884182
0.017,-0.035117,3.449704,-1.020000,0.939443
0.018,-0.037182,3.449668,-1.080000,0.994704
0.019,-0.039247,3.449630,-1.140000,1.049966
0.020,-0.041313,3.449591,-1.200000,1.105227
0.021,-0.043378,3.449549,-1.260000,1.160488
0.022,-0.045444,3.449506,-1.320000,1.215750
0.023,-0.047509,3.449460,-1.380000,1.271011
0.024,-0.049574,3.449412,-1.440000,1.326272
0.025,-0.051639,3.449362,-1.500000,1.381534
0.026,-0.053704,3.449310,-1.560000,1.436795
0.027,-0.055769,3.449256,-1.620000,1.492056
0.028,-0.057834,3.449200,-1.680000,1.547318
0.029,-0.059899,3.449142,-1.740000,1.602579
0.030,-0.061964,3.449082,-1.800000,1.657840
0.031,-0.064029,3.449020,-1.860000,1.713102
0.032,-0.066094,3.448956,-1.920000,1.768363
0.033,-0.068158,3.448890,-1.980000,1.823624
0.034,-0.070223,3.448822,-2.040000,1.878886
0.035,-0.072287,3.448751,-2.100000,1.934147
0.036,-0.074352,3.448679,-2.160000,1.989408
0.037,-0.076416,3.448605,-2.220000,2.044670
0.038,-0.078480,3.448529,-2.280000,2.099931
0.039,-0.080545,3.448450,-2.340000,2.155192
0.040,-0.082609,3.448370,-2.400000,2.210454
0.041,-0.084673,3.448288,-2.460000,2.265715
0.042,-0.086737,3.448203,-2.520000,2.320976
0.043,-0.088801,3.448117,-2.580000,2.376238
0.044,-0.090864,3.448028,-2.640000,2.431499
