# ROBOT PARAMETERS: Arm1=1.8460, Arm2=1.6040, MaxSpeed=120.00, Samples=2763
# Generated: 2026-07-20 11:53:22
# WAYPOINTS:
# WP: -1.602082,0.270989,-135.000000,124.338000,50
# WP: -1.740002,0.769999,-116.767000,113.485700,50
# WP: 1.770000,0.970000,12.479080,108.782400,50

Time,X,Z,Theta1,Theta2
0.000,-1.740002,0.769999,-116.767000,113.485700
0.001,-1.739809,0.768234,-116.827000,113.521400
0.002,-1.739614,0.766471,-116.887000,113.557100
0.003,-1.739418,0.764707,-116.947000,113.592800
0.004,-1.739220,0.762944,-117.007000,113.628500
0.005,-1.739020,0.761183,-117.067000,113.664300
0.006,-1.738818,0.759421,-117.127000,113.700000
0.007,-1.738614,0.757660,-117.187000,113.735700
0.008,-1.738409,0.755900,-117.247000,113.771400
0.009,-1.738202,0.754141,-117.307000,113.807100
0.010,-1.737993,0.752382,-117.367000,113.842800
0.011,-1.737782,0.750623,-117.427000,113.878500
0.012,-1.737569,0.748866,-117.487000,113.914200
0.013,-1.737355,0.747109,-117.547000,113.950000
0.014,-1.737138,0.745353,-117.607000,113.985700
0.015,-1.736920,0.743597,-117.667000,114.021400
0.016,-1.736700,0.741842,-117.727000,114.057100
0.017,-1.736478,0.740088,-117.787000,114.092800
0.018,-1.736255,0.738334,-117.847000,114.128500
0.019,-1.736030,0.736581,-117.907000,114.164200
0.020,-1.735802,0.734828,-117.967000,114.199900
0.021,-1.735573,0.733077,-118.027000,114.235700
0.022,-1.735342,0.731326,-118.087000,114.271400
0.023,-1.735110,0.729575,-118.147000,114.307100
0.024,-1.734875,0.727826,-118.207000,114.342800
0.025,-1.734639,0.726077,-118.267000,114.378500
0.026,-1.734401,0.724328,-118.327000,114.414200
0.027,-1.734161,0.722580,-118.387000,114.449900
0.028,-1.733920,0.720833,-118.447000,114.485600
0.029,-1.733676,0.719087,-118.507000,114.521400
0.030,-1.733431,0.717341,-118.567000,114.557100
0.031,-1.733184,0.715596,-118.627000,114.592800
0.032,-1.732935,0.713852,-118.687000,114.628500
0.033,-1.732685,0.712108,-118.747000,114.664200
0.034,-1.732432,0.710365,-118.807000,114.699900
0.035,-1.732178,0.708623,-118.867000,114.735600
0.036,-1.731922,0.706882,-118.927000,114.771300
0.037,-1.731665,0.705141,-118.987000,114.807000
0.038,-1.731405,0.703401,-119.047000,114.842800
0.039,-1.731143,0.701661,-119.107000,114.878500
0.040,-1.730880,0.699923,-119.167000,114.914200
0.041,-1.730615,0.698185,-119.227000,114.949900
0.042,-1.730349,0.696447,-119.287000,114.985600
0.043,-1.730080,0.694710,-119.347000,115.021300
0.044,-1.729810,0.692974,-119.407000,115.057000
0.045,-1.729537,0.691239,-119.467000,115.092700
0.046,-1.729264,0.689504,-119.527000,115.128500
0.047,-1.728988,0.687771,-119.587000,115.164200
0.048,-1.728711,0.686038,-119.647000,115.199900
0.049,-1.728432,0.684305,-119.707000,115.235600
0.050,-1.728151,0.682573,-119.767000,115.271300
0.051,-1.727868,0.680842,-119.827000,115.307000
0.052,-1.727583,0.679112,-119.887000,115.342700
