# ROBOT PARAMETERS: Arm1=1.8460, Arm2=1.6040, MaxSpeed=120.00, Samples=8459
# Generated: 2026-07-20 11:53:55
# WAYPOINTS:
# WP: -1.602082,0.270989,-135.000000,124.338000,50
# WP: -1.740002,0.769999,-116.767000,113.485700,50
# WP: 1.770000,0.970001,12.479080,108.782400,50
# WP: 2.438963,-2.440071,135.000000,0.027976,50
# WP: -2.440071,-2.438963,-135.000000,0.027976,50

Time,X,Z,Theta1,Theta2
0.000,1.770000,0.970001,12.479080,108.782400
0.001,1.768892,0.971702,12.419080,108.788700
0.002,1.767781,0.973402,12.359080,108.795100
0.003,1.766670,0.975101,12.299080,108.801400
0.004,1.765556,0.976799,12.239080,108.807700
0.005,1.764441,0.978495,12.179080,108.814000
0.006,1.763324,0.980191,12.119080,108.820400
0.007,1.762206,0.981885,12.059080,108.826700
0.008,1.761086,0.983577,11.999080,108.833000
0.009,1.759964,0.985269,11.939080,108.839400
0.010,1.758841,0.986959,11.879080,108.845700
0.011,1.757716,0.988648,11.819080,108.852000
0.012,1.756590,0.990336,11.759080,108.858300
0.013,1.755462,0.992022,11.699080,108.864700
0.014,1.754332,0.993707,11.639080,108.871000
0.015,1.753201,0.995391,11.579080,108.877300
0.016,1.752068,0.997074,11.519080,108.883700
0.017,1.750933,0.998755,11.459080,108.890000
0.018,1.749797,1.000435,11.399080,108.896300
0.019,1.748659,1.002114,11.339080,108.902600
0.020,1.747520,1.003791,11.279080,108.909000
0.021,1.746379,1.005467,11.219080,108.915300
0.022,1.745236,1.007142,11.159080,108.921600
0.023,1.744092,1.008816,11.099080,108.928000
0.024,1.742946,1.010488,11.039080,108.934300
0.025,1.741798,1.012159,10.979080,108.940600
0.026,1.740649,1.013829,10.919080,108.946900
0.027,1.739498,1.015498,10.859080,108.953300
0.028,1.738346,1.017165,10.799080,108.959600
0.029,1.737192,1.018831,10.739080,108.965900
0.030,1.736037,1.020496,10.679080,108.972300
0.031,1.734879,1.022159,10.619080,108.978600
0.032,1.733721,1.023821,10.559080,108.984900
0.033,1.732560,1.025482,10.499080,108.991200
0.034,1.731399,1.027141,10.439080,108.997600
0.035,1.730235,1.028800,10.379080,109.003900
0.036,1.729070,1.030456,10.319080,109.010200
0.037,1.727903,1.032112,10.259080,109.016600
0.038,1.726735,1.033766,10.199080,109.022900
0.039,1.725565,1.035419,10.139080,109.029200
0.040,1.724394,1.037071,10.079080,109.035500
0.041,1.723221,1.038721,10.019080,109.041900
0.042,1.722046,1.040370,9.959079,109.048200
0.043,1.720870,1.042018,9.899079,109.054500
0.044,1.719692,1.043664,9.839079,109.060900
0.045,1.718513,1.045309,9.779079,109.067200
0.046,1.717332,1.046953,9.719079,109.073500
0.047,1.716149,1.048595,9.659080,109.079800
0.048,1.714966,1.050237,9.599079,109.086200
0.049,1.713780,1.051876,9.539079,109.092500
0.050,1.712593,1.053515,9.479079,109.098800
0.051,1.711404,1.055152,9.419079,109.105200
0.052,1.710214,1.056788,9.359079,109.111500
0.053,1.709021,1.058422,9.299079,109.117800
0.054,1.707828,1.060056,9.239079,109.124100
0.055,1.706633,1.061688,9.179079,109.130500
0.056,1.705437,1.063318,9.119080,109.136800
0.057,1.704238,1.064947,9.059079,109.143100
0.058,1.703039,1.066575,8.999079,109.149500
0.059,1.701837,1.068202,8.939079,109.155800
0.060,1.700634,1.069827,8.879079,109.162100
0.061,1.699430,1.071451,8.819079,109.168400
0.062,1.698224,1.073073,8.759079,109.174800
0.063,1.697017,1.074695,8.699080,109.181100
0.064,1.695808,1.076314,8.639079,109.187400
0.065,1.694597,1.077933,8.579079,109.193800
0.066,1.693385,1.079550,8.519079,109.200100
0.067,1.692171,1.081166,8.459079,109.206400
0.068,1.690956,1.082780,8.399079,109.212700
0.069,1.689739,1.084393,8.339079,109.219100
0.070,1.688521,1.086005,8.279079,109.225400
0.071,1.687301,1.087615,8.219079,109.231700
0.072,1.686080,1.089225,8.159080,109.238100
0.073,1.684857,1.090832,8.099079,109.244400
0.074,1.683632,1.092439,8.039080,109.250700
0.075,1.682406,1.094044,7.979079,109.257000
0.076,1.681179,1.095647,7.919079,109.263400
0.077,1.679950,1.097249,7.859079,109.269700
0.078,1.678719,1.098850,7.799079,109.276000
0.079,1.677487,1.100450,7.739079,109.282400
0.080,1.676253,1.102048,7.679079,109.288700
0.081,1.675018,1.103645,7.619080,109.295000
0.082,1.673782,1.105240,7.559079,109.301300
0.083,1.672543,1.106834,7.499079,109.307700
0.084,1.671304,1.108427,7.439079,109.314000
0.085,1.670062,1.110018,7.379079,109.320300
0.086,1.668820,1.111608,7.319079,109.326700
0.087,1.667575,1.113197,7.259079,109.333000
0.088,1.666330,1.114784,7.199079,109.339300
0.089,1.665082,1.116370,7.139079,109.345600
0.090,1.663833,1.117954,7.079079,109.352000
0.091,1.662583,1.119537,7.019079,109.358300
0.092,1.661331,1.121119,6.959079,109.364600
0.093,1.660078,1.122699,6.899079,109.371000
0.094,1.658823,1.124278,6.839079,109.377300
0.095,1.657567,1.125855,6.779079,109.383600
0.096,1.656309,1.127431,6.719079,109.389900
0.097,1.655049,1.129006,6.659079,109.396300
0.098,1.653788,1.130579,6.599079,109.402600
0.099,1.652526,1.132151,6.539079,109.408900
0.100,1.651262,1.133722,6.479079,109.415300
0.101,1.649997,1.135291,6.419079,109.421600
0.102,1.648730,1.136859,6.359079,109.427900
0.103,1.647462,1.138425,6.299079,109.434200
0.104,1.646192,1.139990,6.239079,109.440600
0.105,1.644921,1.141554,6.179079,109.446900
0.106,1.643648,1.143116,6.119079,109.453200
0.107,1.642373,1.144676,6.059079,109.459600
0.108,1.641098,1.146235,5.999079,109.465900
0.109,1.639820,1.147793,5.939079,109.472200
